college_id,college_name,college_type,ownership,district,city,state,university,established_year,naac_grade,nirf_rank,autonomous,accreditation_score,total_students,total_faculty,campus_area_acres,courses_offered,hostel_available,website,status
COL0526,"Government Mahavidyalaya, Vita","Arts, Science & Commerce",Private,Sangli,Vita,Maharashtra,"Shivaji University, Kolhapur",2012,A+,,No,3.55,761,38,22.5,BSc; BCom; MCom; MA; BA; MSc,Yes,www.governmentmahavidyalayavita.edu.in,Active
COL0527,"Government Arts, Science and Commerce College, Malegaon","Arts, Science & Commerce",Private,Nashik,Malegaon,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,2017,B++,,No,3.12,721,39,24.1,MA; BA; BSc; MCom; BCom,Yes,www.governmentartsscienceandcomm.edu.in,Active
COL0528,"Bharatiya Vidya Bhavan's Annasaheb Magar College of Engineering, Risod",Engineering,Government,Washim,Risod,Maharashtra,Sant Gadge Baba Amravati University,1980,B+,,No,2.95,2676,136,37.0,BE Computer Engineering; BE Civil Engineering; BE Mechanical Engineering; ME,No,www.bharatiyavidyabhavansannasah.ac.in,Active
COL0529,"Shri Shivaji Education Society's Shri Sant Savata Mali Law College, Islampur",Law,Government,Sangli,Islampur,Maharashtra,"Shivaji University, Kolhapur",1960,B+,,Yes,2.87,592,43,3.2,LLB; LLM,No,www.shrishivajieducationsocietys.org.in,Active
COL0530,"Bharatiya Vidya Bhavan's Krantiveer Vasudeo Balwant Phadke Institute of Medical Sciences, Majalgaon",Medical,Deemed,Beed,Majalgaon,Maharashtra,Bharatiya Vidya Bhavan's Krantiveer Vasudeo Balwant Phadke Institute of Medical Sciences (Deemed to be University),1996,B++,,Yes,3.02,1892,90,59.9,MD; MS,Yes,www.bharatiyavidyabhavanskrantiv.ac.in,Active
COL0531,"Baburao Kale Agricultural Institute, Bhandara",Agriculture,Autonomous,Bhandara,Bhandara,Maharashtra,"Mahatma Phule Krishi Vidyapeeth, Rahuri",1973,A,,Yes,3.46,1082,77,220.1,M.Sc Agriculture; B.Sc Agriculture,Yes,www.baburaokaleagriculturalinsti.ac.in,Active
COL0532,"Balasaheb Desai College of Education, Chandur",Education (B.Ed/D.Ed),Autonomous,Amravati,Chandur,Maharashtra,Sant Gadge Baba Amravati University,1950,A+,,Yes,3.74,384,26,1.5,B.Ed; D.Ed; M.Ed,No,www.balasahebdesaicollegeofeduca.edu.in,Active
COL0533,"Annasaheb Magar College of Engineering, Nilanga",Engineering,Private,Latur,Nilanga,Maharashtra,Dr. Babasaheb Ambedkar Technological University,1979,Not Accredited,,No,0.0,3877,216,75.6,BE Mechanical Engineering; BE Computer Engineering; BE Electrical Engineering,Yes,www.annasahebmagarcollegeofengin.edu.in,Active
COL0534,"Kisan Veer Mahavidyalaya, Andheri",Arts,Private,Mumbai Suburban,Andheri,Maharashtra,University of Mumbai,1981,B+,,No,2.86,1912,95,1.1,BA History; BA English,Yes,www.kisanveermahavidyalayaandher.edu.in,Active
COL0535,"Shankarrao Chavan Mahavidyalaya, Kolhapur","Arts, Science & Commerce",Private,Kolhapur,Kolhapur,Maharashtra,"Shivaji University, Kolhapur",1982,B+,,Yes,2.89,4376,190,26.3,MA; MCom; BA; BCom,Yes,www.shankarraochavanmahavidyalay.edu.in,Under NAAC Reassessment
COL0536,Institute of Management Development and Research,Management (MBA/BBA),Private,Pune,Pune,Maharashtra,Savitribai Phule Pune University,1885,A+,244,No,3.6,521,39,14.3,BBA; MBA; MMS,Yes,www.instituteofmanagementdevelop.org.in,Active
COL0537,"Sinhgad Technical Education Society's Vitthalrao Vikhe Patil College of Pharmacy, Kamptee",Pharmacy,Government,Nagpur,Kamptee,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1967,A,,No,3.35,292,21,8.2,D.Pharm; M.Pharm; B.Pharm,Yes,www.sinhgadtechnicaleducationsoc.ac.in,Active
COL0538,"Government Mahavidyalaya, Bhokardan",Arts,Private,Jalna,Bhokardan,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,2001,A,,No,3.37,1172,84,4.9,BA English; BA History,No,www.governmentmahavidyalayabhoka.edu.in,Active
COL0539,"Sanjivani Rural Education Society's Sant Gadge Baba Polytechnic, Vaijapur",Polytechnic,Private,Chhatrapati Sambhajinagar,Vaijapur,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,2015,B++,,No,3.23,1373,85,20.8,Diploma in Mechanical Engineering; Diploma in Civil Engineering; Diploma in Electrical Engineering,Yes,www.sanjivaniruraleducationsocie.edu.in,Active
COL0540,"Adarsh Mahavidyalaya, Mahad","Arts, Science & Commerce",Autonomous,Raigad,Mahad,Maharashtra,University of Mumbai,1961,B+,,Yes,2.84,2073,87,10.2,BCom; MSc; MCom,No,www.adarshmahavidyalayamahad.ac.in,Active
COL0541,"Vidya Bharati Mahavidyalaya Trust's Annasaheb Magar Arts, Science and Commerce College, Vile Parle","Arts, Science & Commerce",Private,Mumbai Suburban,Vile Parle,Maharashtra,University of Mumbai,1987,B++,,No,3.03,1977,117,17.9,MCom; MSc; BSc; BCom; BA; MA,No,www.vidyabharatimahavidyalayatru.org.in,Active
COL0542,"Sanjivani Rural Education Society's Anandibai Joshi Institute of Pharmaceutical Sciences, Sengaon",Pharmacy,Private,Hingoli,Sengaon,Maharashtra,Swami Ramanand Teerth Marathwada University,2008,B,,No,2.74,671,41,13.2,M.Pharm; B.Pharm,Yes,www.sanjivaniruraleducationsocie.ac.in,Active
COL0543,"Adarsh Shikshan Prasarak Mandal's Shri Sant Savata Mali Institute of Pharmaceutical Sciences, Dapoli",Pharmacy,Government,Ratnagiri,Dapoli,Maharashtra,University of Mumbai,1919,A,207,No,3.29,880,46,7.2,B.Pharm; M.Pharm,Yes,www.adarshshikshanprasarakmandal.edu.in,Active
COL0544,"Chhatrapati Shivaji Arts, Science and Commerce College, Nanded","Arts, Science & Commerce",Autonomous,Nanded,Nanded,Maharashtra,Swami Ramanand Teerth Marathwada University,1968,A,,Yes,3.49,3576,209,41.8,BA; MA; MSc; BSc,Yes,www.chhatrapatishivajiartsscienc.edu.in,Active
COL0545,"Shahu Maharaj Mahavidyalaya, Mahad","Arts, Science & Commerce",Government,Raigad,Mahad,Maharashtra,University of Mumbai,1907,A,280,No,3.44,2866,156,35.2,BCom; MSc; MCom; BA; BSc; MA,No,www.shahumaharajmahavidyalayamah.ac.in,Active
COL0546,"Shri Shivaji Education Society's Sane Guruji College of Commerce, Umred",Commerce,Private,Nagpur,Umred,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1985,A+,,No,3.65,3308,250,4.1,BCom (Accounting & Finance); BCom,No,www.shrishivajieducationsocietys.org.in,Active
COL0547,"Loknete Gopinathji Munde Mahavidyalaya, Thane","Arts, Science & Commerce",Autonomous,Thane,Thane,Maharashtra,University of Mumbai,1964,A++,,Yes,3.81,3721,170,25.6,BA; MCom; MSc; BSc,Yes,www.loknetegopinathjimundemahavi.org.in,Active
COL0548,"Marathwada Shikshan Prasarak Mandal's Bhausaheb Hire Arts, Science and Commerce College, Shirpur","Arts, Science & Commerce",Government,Dhule,Shirpur,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1881,B++,,No,3.07,1997,114,13.2,MA; BCom; MCom; MSc; BSc,No,www.marathwadashikshanprasarakma.ac.in,Active
COL0549,"Nutan Vidya Prasarak Sanstha's Krantiveer Vasudeo Balwant Phadke Institute of Polytechnic, Hinganghat",Polytechnic,Autonomous,Wardha,Hinganghat,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1996,A+,,Yes,3.73,1125,54,13.2,Diploma in Electrical Engineering; Diploma in Computer Engineering,Yes,www.nutanvidyaprasaraksansthaskr.org.in,Active
COL0550,Cummins College of Engineering for Women,Engineering,Autonomous,Pune,Pune,Maharashtra,Savitribai Phule Pune University,1880,B++,172,Yes,3.04,3943,193,46.9,BE Electronics & Telecommunication; BE Computer Engineering; ME,Yes,www.cumminscollegeofengineeringf.org.in,Active
COL0551,"Government College of Pharmacy, Bhiwandi",Pharmacy,Government,Thane,Bhiwandi,Maharashtra,University of Mumbai,1883,A+,,No,3.52,232,16,5.6,D.Pharm; M.Pharm,Yes,www.governmentcollegeofpharmacyb.org.in,Under NAAC Reassessment
COL0552,Rajaram College,"Arts, Science & Commerce",Autonomous,Kolhapur,Kolhapur,Maharashtra,"Shivaji University, Kolhapur",1933,A++,,Yes,3.77,5789,418,8.3,MA; BCom; MSc,Yes,www.rajaramcollege.org.in,Active
COL0553,"Lok Shikshan Sanstha's Baburao Kale Institute of Medical Sciences, Gangakhed",Medical,Private,Parbhani,Gangakhed,Maharashtra,"Maharashtra University of Health Sciences, Nashik",2003,C,,Yes,2.34,1104,67,40.1,MD; MBBS,No,www.lokshikshansansthasbaburaoka.edu.in,Active
COL0554,Chiplun Law College,Law,Private,Ratnagiri,Chiplun,Maharashtra,University of Mumbai,2013,B,,No,2.69,528,25,9.1,LLM; LLB; BA LLB,No,www.chiplunlawcollege.edu.in,Active
COL0555,"MIT Art Design and Technology Group's Annasaheb Magar Mahavidyalaya, Wai","Arts, Science & Commerce",Autonomous,Satara,Wai,Maharashtra,"Shivaji University, Kolhapur",2001,A+,130,Yes,3.57,5431,249,35.5,MSc; MCom; MA; BA; BCom,Yes,www.mitartdesignandtechnologygro.org.in,Active
COL0556,"Krantiveer Vasudeo Balwant Phadke Polytechnic, Amalner",Polytechnic,Private,Jalgaon,Amalner,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1980,B,,No,2.66,896,47,13.7,Diploma in Electrical Engineering; Diploma in Civil Engineering,No,www.krantiveervasudeobalwantphad.org.in,Active
COL0557,"Jyotirao Phule College of Architecture, Vile Parle",Architecture,Autonomous,Mumbai Suburban,Vile Parle,Maharashtra,University of Mumbai,1994,B+,,Yes,2.98,448,35,11.4,M.Arch; B.Arch,Yes,www.jyotiraophulecollegeofarchit.org.in,Active
COL0558,"Nutan Vidya Prasarak Sanstha's Vitthalrao Vikhe Patil College of Nursing, Pulgaon",Nursing,Private,Wardha,Pulgaon,Maharashtra,"Maharashtra University of Health Sciences, Nashik",1978,B,,No,2.71,127,8,11.0,M.Sc Nursing; GNM; B.Sc Nursing,No,www.nutanvidyaprasaraksansthasvi.ac.in,Active
COL0559,"Shri Sant Savata Mali Institute of Medical Sciences, Murtijapur",Medical,Private,Akola,Murtijapur,Maharashtra,"Maharashtra University of Health Sciences, Nashik",1983,B+,,No,2.9,962,51,39.4,MBBS; MD,No,www.shrisantsavatamaliinstituteo.ac.in,Active
COL0560,"Terna Public Charitable Trust's Shri Sant Savata Mali Arts, Science and Commerce College, Ulhasnagar","Arts, Science & Commerce",Private,Thane,Ulhasnagar,Maharashtra,University of Mumbai,1994,B+,,No,2.9,1613,78,21.6,MA; BA; BCom; BSc; MCom; MSc,No,www.ternapubliccharitabletrustss.org.in,Active
COL0561,"Shahu Maharaj College of Commerce, Kopargaon",Commerce,Private,Ahmednagar,Kopargaon,Maharashtra,Savitribai Phule Pune University,2007,B++,,No,3.04,2894,178,2.2,BCom (Banking & Insurance); BCom; MCom,No,www.shahumaharajcollegeofcommerc.edu.in,Active
COL0562,"Dr. Babasaheb Ambedkar College of Nursing, Pusad",Nursing,Private,Yavatmal,Pusad,Maharashtra,"Maharashtra University of Health Sciences, Nashik",1991,B++,,No,3.22,140,10,15.2,GNM; ANM; B.Sc Nursing,No,www.drbabasahebambedkarcollegeof.org.in,Active
COL0563,"Vidya Pratishthan's Tukaram Agricultural Institute, Risod",Agriculture,Private,Washim,Risod,Maharashtra,"Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth, Dapoli",1988,B++,,No,3.15,488,24,96.8,B.Tech Agricultural Engineering; M.Sc Agriculture,Yes,www.vidyapratishthanstukaramagri.ac.in,Active
COL0564,"Bharatiya Vidya Bhavan's Karmaveer Bhaurao Patil School of Architecture, Malegaon",Architecture,Autonomous,Washim,Malegaon,Maharashtra,Sant Gadge Baba Amravati University,1985,B++,,Yes,3.11,381,21,9.8,B.Arch; M.Arch,Yes,www.bharatiyavidyabhavanskarmave.edu.in,Active
COL0565,"Yashwantrao Chavan College of Education, Bhiwandi",Education (B.Ed/D.Ed),Private,Thane,Bhiwandi,Maharashtra,University of Mumbai,2018,B+,,No,2.9,300,13,3.0,D.Ed; M.Ed,No,www.yashwantraochavancollegeofed.org.in,Active
COL0566,Warora Polytechnic,Polytechnic,Government,Chandrapur,Warora,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1894,A+,,No,3.65,759,32,22.2,Diploma in Mechanical Engineering; Diploma in Electrical Engineering; Diploma in Civil Engineering,Yes,www.warorapolytechnic.org.in,Active
COL0567,"Kai. Shankarrao Patil Education Society's Yashwantrao Chavan Institute of Management Studies, Chakan",Management (MBA/BBA),Private,Pune,Chakan,Maharashtra,Savitribai Phule Pune University,1991,B++,,No,3.07,440,22,11.8,BBA; MMS,Yes,www.kaishankarraopatileducations.ac.in,Active
COL0568,"Karmaveer Bhaurao Patil Arts College, Bhusawal",Arts,Private,Jalgaon,Bhusawal,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1986,B++,,No,3.22,1867,117,14.6,BA Marathi; MA; BA English; BA History,No,www.karmaveerbhauraopatilartscol.edu.in,Active
COL0569,"Mahatma Gandhi Polytechnic, Kalamb",Polytechnic,Private,Dharashiv,Kalamb,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,2013,B,,No,2.74,848,56,7.1,Diploma in Civil Engineering; Diploma in Computer Engineering,Yes,www.mahatmagandhipolytechnickala.ac.in,Active
COL0570,"Krantiveer Vasudeo Balwant Phadke College of Pharmacy, Bhiwandi",Pharmacy,Government,Thane,Bhiwandi,Maharashtra,University of Mumbai,1898,A,,Yes,3.4,206,13,2.3,B.Pharm; M.Pharm; D.Pharm,No,www.krantiveervasudeobalwantphad.edu.in,Active
COL0571,"Government Institute of Medical Sciences, Vita",Medical,Government,Sangli,Vita,Maharashtra,"Maharashtra University of Health Sciences, Nashik",1951,B,,No,2.66,1638,76,70.2,MBBS; MS; MD,Yes,www.governmentinstituteofmedical.org.in,Active
COL0572,"Lok Shikshan Sanstha's Vinoba Bhave College of Commerce, Sawantwadi",Commerce,Private,Sindhudurg,Sawantwadi,Maharashtra,University of Mumbai,2010,B,,No,2.71,2446,138,11.1,BCom (Accounting & Finance); BCom; BCom (Banking & Insurance); MCom,No,www.lokshikshansansthasvinobabha.ac.in,Active
COL0573,"Maratha Vidya Prasarak Samaj's Tukaram Institute of Nursing Sciences, Gadhinglaj",Nursing,Private,Kolhapur,Gadhinglaj,Maharashtra,"Maharashtra University of Health Sciences, Nashik",1985,A+,,No,3.72,197,9,8.2,B.Sc Nursing; GNM; M.Sc Nursing; ANM,Yes,www.marathavidyaprasaraksamajstu.org.in,Active
COL0574,"Rayat Shikshan Sanstha's Tukaram Institute of Polytechnic, Kamptee",Polytechnic,Government,Nagpur,Kamptee,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1872,A,,Yes,3.48,1667,75,5.2,Diploma in Mechanical Engineering; Diploma in Civil Engineering; Diploma in Computer Engineering; Diploma in Electrical Engineering,Yes,www.rayatshikshansansthastukaram.edu.in,Active
COL0575,"Karmaveer Bhaurao Patil Mahavidyalaya, Kalyan","Arts, Science & Commerce",Government,Thane,Kalyan,Maharashtra,University of Mumbai,1912,B+,,No,2.77,862,43,41.3,MA; MCom; BSc; BCom; MSc; BA,No,www.karmaveerbhauraopatilmahavid.org.in,Active
COL0576,"Sinhgad Technical Education Society's Shankarrao Chavan College of Pharmacy, Borivali",Pharmacy,Private,Mumbai Suburban,Borivali,Maharashtra,University of Mumbai,1990,B,,Yes,2.52,541,29,19.6,D.Pharm; B.Pharm; M.Pharm,No,www.sinhgadtechnicaleducationsoc.edu.in,Active
COL0577,"Bharatiya Vidya Bhavan's Sant Gadge Baba Institute of Engineering and Technology, Vasai",Engineering,Private,Palghar,Vasai,Maharashtra,University of Mumbai,2018,C,,Yes,2.36,1934,135,39.6,BE Electronics & Telecommunication; BE Computer Engineering; BE Civil Engineering; BE Electrical Engineering; BE Mechanical Engineering; ME,Yes,www.bharatiyavidyabhavanssantgad.ac.in,Active
COL0578,"Shankarrao Chavan B.Ed. College, Sangamner",Education (B.Ed/D.Ed),Private,Ahmednagar,Sangamner,Maharashtra,Savitribai Phule Pune University,1987,A,,No,3.37,242,10,6.9,B.Ed; D.Ed; M.Ed,Yes,www.shankarraochavanbedcollegesa.org.in,Active
COL0579,"Anjuman-I-Islam's Bhausaheb Hire Mahavidyalaya, Chandur","Arts, Science & Commerce",Autonomous,Amravati,Chandur,Maharashtra,Sant Gadge Baba Amravati University,1974,A,213,Yes,3.27,1901,150,11.2,BSc; MSc; BCom; MCom,Yes,www.anjuman-i-islamsbhausahebhir.edu.in,Active
COL0580,"Baburao Kale Institute of Nursing Sciences, Yavatmal",Nursing,Private,Yavatmal,Yavatmal,Maharashtra,Sant Gadge Baba Amravati University,1984,B+,,Yes,2.82,304,22,14.4,B.Sc Nursing; M.Sc Nursing; GNM; ANM,No,www.baburaokaleinstituteofnursin.edu.in,Active
COL0581,"Maratha Vidya Prasarak Samaj's Rajarshi Shahu School of Business Management, Washim",Management (MBA/BBA),Autonomous,Washim,Washim,Maharashtra,Sant Gadge Baba Amravati University,1966,A+,197,Yes,3.53,560,28,11.4,PGDM; MBA,Yes,www.marathavidyaprasaraksamajsra.org.in,Active
COL0582,"Chhatrapati Shivaji College of Science, Hingoli",Science,Private,Hingoli,Hingoli,Maharashtra,Swami Ramanand Teerth Marathwada University,1998,B,,No,2.65,1795,126,22.7,BSc Chemistry; BSc Computer Science; BSc Mathematics,No,www.chhatrapatishivajicollegeofs.org.in,Active
COL0583,"New Model Arts, Science and Commerce College, Borivali","Arts, Science & Commerce",Government,Mumbai Suburban,Borivali,Maharashtra,University of Mumbai,1910,A,,No,3.49,4935,380,7.6,MA; BSc; BCom; BA; MSc; MCom,Yes,www.newmodelartsscienceandcommer.ac.in,Active
COL0584,"Jain Education Society's Shankarrao Chavan School of Business Management, Ramtek",Management (MBA/BBA),Private,Nagpur,Ramtek,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1986,B,,No,2.72,781,42,16.5,BBA; MMS,No,www.jaineducationsocietysshankar.edu.in,Active
COL0585,Government Polytechnic Nagpur,Polytechnic,Government,Nagpur,Nagpur,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1866,B++,,No,3.14,1141,62,6.8,Diploma in Computer Engineering; Diploma in Mechanical Engineering,Yes,www.governmentpolytechnicnagpur.org.in,Active
COL0586,"Government Science College, Mumbai",Science,Autonomous,Mumbai City,Mumbai,Maharashtra,University of Mumbai,1981,B++,,Yes,3.06,589,28,8.5,BSc Computer Science; BSc Mathematics; MSc,Yes,www.governmentsciencecollegemumb.edu.in,Active
COL0587,"Maratha Vidya Prasarak Samaj's Shri Sant Savata Mali Arts, Science and Commerce College, Solapur","Arts, Science & Commerce",Government,Solapur,Solapur,Maharashtra,Punyashlok Ahilyadevi Holkar Solapur University,1947,A,142,No,3.49,5775,423,39.3,MA; BCom; BA,Yes,www.marathavidyaprasaraksamajssh.edu.in,Active
COL0588,"Jyotirao Phule College of Commerce, Murtijapur",Commerce,Autonomous,Akola,Murtijapur,Maharashtra,Sant Gadge Baba Amravati University,1983,A,,Yes,3.38,3134,170,8.5,BCom (Banking & Insurance); MCom; BCom; BCom (Accounting & Finance),Yes,www.jyotiraophulecollegeofcommer.org.in,Active
COL0589,"Kai. Shankarrao Patil Education Society's Tukaram Institute of Engineering and Technology, Andheri",Engineering,Government,Mumbai Suburban,Andheri,Maharashtra,University of Mumbai,1909,A++,,No,3.97,3704,205,65.1,BE Electrical Engineering; ME; BE Computer Engineering; BE Mechanical Engineering; BE Civil Engineering,Yes,www.kaishankarraopatileducations.ac.in,Active
COL0590,Baramati Law College,Law,Private,Pune,Baramati,Maharashtra,Savitribai Phule Pune University,2003,B++,,Yes,3.18,460,28,4.7,BA LLB; LLB,Yes,www.baramatilawcollege.org.in,Active
COL0591,"Government Commerce College, Andheri",Commerce,Private,Mumbai Suburban,Andheri,Maharashtra,University of Mumbai,2012,A++,,No,3.81,1727,116,10.1,BCom (Accounting & Finance); BCom; MCom,Yes,www.governmentcommercecollegeand.org.in,Active
COL0592,"Kisan Veer Mahavidyalaya, Deglur","Arts, Science & Commerce",Deemed,Nanded,Deglur,Maharashtra,Kisan Veer Mahavidyalaya (Deemed to be University),1986,A++,,Yes,3.83,6399,267,41.3,MCom; MSc; BA,Yes,www.kisanveermahavidyalayadeglur.ac.in,Active
COL0593,"Progressive Education Society's Rajarshi Shahu College of Engineering, Malegaon",Engineering,Autonomous,Nashik,Malegaon,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,2002,A+,14,Yes,3.54,3521,257,35.3,BE Computer Engineering; ME; BE Civil Engineering,Yes,www.progressiveeducationsocietys.edu.in,Active
COL0594,"Sane Guruji College of Engineering and Technology, Dahanu",Engineering,Private,Palghar,Dahanu,Maharashtra,University of Mumbai,1990,B+,,No,2.76,2448,141,46.2,BE Electronics & Telecommunication; BE Mechanical Engineering; ME; BE Electrical Engineering; BE Civil Engineering; BE Computer Engineering,Yes,www.sanegurujicollegeofengineeri.ac.in,Active
COL0595,"Savitribai Phule B.Ed. College, Bhusawal",Education (B.Ed/D.Ed),Private,Jalgaon,Bhusawal,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,2001,B,,No,2.73,155,8,8.0,M.Ed; D.Ed,Yes,www.savitribaiphulebedcollegebhu.ac.in,Active
COL0596,"Balasaheb Desai Arts, Science and Commerce College, Phaltan","Arts, Science & Commerce",Government,Satara,Phaltan,Maharashtra,"Shivaji University, Kolhapur",1949,B+,,No,2.82,4672,329,25.2,BSc; MA; MSc; MCom; BA; BCom,Yes,www.balasahebdesaiartsscienceand.ac.in,Under NAAC Reassessment
COL0597,"Government Science College, Bhusawal",Science,Private,Jalgaon,Bhusawal,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1997,A,,No,3.49,1578,103,19.6,BSc Physics; MSc; BSc Chemistry; BSc Computer Science; BSc Mathematics,No,www.governmentsciencecollegebhus.org.in,Active
COL0598,"Vitthalrao Vikhe Patil Institute of Polytechnic, Ahmednagar",Polytechnic,Deemed,Ahmednagar,Ahmednagar,Maharashtra,Vitthalrao Vikhe Patil Institute of Polytechnic (Deemed to be University),1983,A+,,Yes,3.53,483,21,26.7,Diploma in Computer Engineering; Diploma in Civil Engineering; Diploma in Mechanical Engineering,No,www.vitthalraovikhepatilinstitut.ac.in,Active
COL0599,"Kai. Shankarrao Patil Education Society's Shankarrao Chavan Polytechnic, Umred",Polytechnic,Private,Nagpur,Umred,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1986,A,,No,3.32,1136,75,15.1,Diploma in Civil Engineering; Diploma in Mechanical Engineering; Diploma in Electrical Engineering,No,www.kaishankarraopatileducations.ac.in,Active
COL0600,"Kisan Veer Arts, Science and Commerce College, Ulhasnagar","Arts, Science & Commerce",Private,Thane,Ulhasnagar,Maharashtra,University of Mumbai,2004,A+,,No,3.57,1873,101,6.0,MCom; BCom; BSc,No,www.kisanveerartsscienceandcomme.org.in,Active
COL0601,"Vinoba Bhave College of Pharmacy, Chhatrapati Sambhajinagar",Pharmacy,Private,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1982,A,,No,3.27,349,20,13.1,M.Pharm; B.Pharm; D.Pharm,Yes,www.vinobabhavecollegeofpharmacy.ac.in,Active
COL0602,"Progressive Education Society's Tukaram Agricultural Institute, Gadhinglaj",Agriculture,Private,Kolhapur,Gadhinglaj,Maharashtra,"Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth, Dapoli",2004,A+,,No,3.55,955,65,150.7,M.Sc Agriculture; B.Tech Agricultural Engineering; B.Sc Agriculture,No,www.progressiveeducationsocietys.ac.in,Active
COL0603,"MIT Art Design and Technology Group's Sant Gadge Baba Institute of Nursing Sciences, Nagpur",Nursing,Private,Nagpur,Nagpur,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,2004,A,,No,3.4,318,15,4.8,M.Sc Nursing; ANM,Yes,www.mitartdesignandtechnologygro.ac.in,Active
COL0604,"Ramabai Ranade Polytechnic, Amgaon",Polytechnic,Autonomous,Gondia,Amgaon,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1957,A++,89,Yes,3.97,1430,102,14.3,Diploma in Computer Engineering; Diploma in Electrical Engineering; Diploma in Civil Engineering,Yes,www.ramabairanadepolytechnicamga.edu.in,Active
COL0605,"Jain Education Society's Shankarrao Chavan School of Business Management, Dhule",Management (MBA/BBA),Private,Dhule,Dhule,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1991,A,,No,3.36,538,29,6.6,MMS; BBA,No,www.jaineducationsocietysshankar.ac.in,Active
COL0606,"Government Polytechnic, Jalgaon",Polytechnic,Private,Jalgaon,Jalgaon,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,2001,C,,No,2.21,1123,51,5.6,Diploma in Civil Engineering; Diploma in Electrical Engineering,Yes,www.governmentpolytechnicjalgaon.ac.in,Active
COL0607,"Anjuman-I-Islam's Rajarshi Shahu Commerce College, Kandhar",Commerce,Government,Nanded,Kandhar,Maharashtra,Swami Ramanand Teerth Marathwada University,1893,A,,No,3.27,1179,62,5.3,BCom; BCom (Banking & Insurance); BCom (Accounting & Finance),No,www.anjuman-i-islamsrajarshishah.edu.in,Active
COL0608,"Savitribai Phule College of Architecture, Kudal",Architecture,Private,Sindhudurg,Kudal,Maharashtra,University of Mumbai,2007,B,,No,2.63,319,26,8.0,M.Arch; B.Arch,No,www.savitribaiphulecollegeofarch.ac.in,Active
COL0609,"Government College of Engineering, Vaijapur",Engineering,Private,Chhatrapati Sambhajinagar,Vaijapur,Maharashtra,Dr. Babasaheb Ambedkar Technological University,2011,B++,,No,3.07,1890,87,78.0,BE Mechanical Engineering; BE Electronics & Telecommunication; BE Computer Engineering,Yes,www.governmentcollegeofengineeri.org.in,Active
COL0610,"Sane Guruji Mahavidyalaya, Borivali","Arts, Science & Commerce",Autonomous,Mumbai Suburban,Borivali,Maharashtra,University of Mumbai,2004,A,,Yes,3.48,3093,131,11.8,MSc; BSc; MCom; BA; BCom; MA,Yes,www.sanegurujimahavidyalayaboriv.ac.in,Active
COL0611,"New Model Institute of Engineering and Technology, Hinganghat",Engineering,Private,Wardha,Hinganghat,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1985,A++,,No,3.8,1844,114,26.0,BE Electrical Engineering; BE Civil Engineering; BE Computer Engineering,Yes,www.newmodelinstituteofengineeri.ac.in,Active
COL0612,"Nutan Vidya Prasarak Sanstha's Padmashri Vikhe Patil School of Business Management, Ulhasnagar",Management (MBA/BBA),Autonomous,Thane,Ulhasnagar,Maharashtra,University of Mumbai,1997,A+,,Yes,3.61,370,18,2.4,PGDM; MMS; MBA,Yes,www.nutanvidyaprasaraksansthaspa.edu.in,Active
COL0613,"Padmashri Vikhe Patil Arts, Science and Commerce College, Shahada","Arts, Science & Commerce",Private,Nandurbar,Shahada,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,2017,Not Accredited,,No,0.0,731,40,38.6,BSc; MCom; BCom; BA; MSc,No,www.padmashrivikhepatilartsscien.edu.in,Active
