placement_id,college_id,student_id,branch,graduation_year,company,package_lpa,internship_company,internship_stipend,placement_status,job_role,location
PLC007177,COL1339,STU067425,MCom,2027,,,Fortis Healthcare,10000,Not Eligible,,
PLC007178,COL0773,STU038664,BSc,2027,Axis Bank,7.6,,,Placed,Relationship Manager,Noida
PLC007179,COL1089,STU054362,MSc,2027,Teleperformance,5.1,,,Placed,Customer Support Executive,Amravati
PLC007180,COL1801,STU089961,MCom,2027,,,Amazon (Operations),10500,Not Placed,,
PLC007181,COL1399,STU071072,M.Sc Nursing,2027,,,Ruby Hall Clinic,10000,Not Placed,,
PLC007182,COL1255,STU062627,MCom,2027,TCS,6.5,,,Placed,Technical Consultant,Bengaluru
PLC007183,COL0818,STU041137,MA,2027,,,,,Not Placed,,
PLC007184,COL1911,STU095665,MBA,2027,Kotak Mahindra Bank,10.4,Dr. Reddy's Laboratories,9000,Placed,Business Analyst,Hyderabad
PLC007185,COL1403,STU071280,Diploma in Computer Engineering,2027,,,Uber,82000,Not Eligible,,
PLC007186,COL0183,STU009714,ME,2027,Zensar Technologies,4.5,,,Placed,IT Analyst,Pune
PLC007187,COL0457,STU023136,MA,2027,,,,,Not Placed,,
PLC007188,COL0340,STU017633,BSc,2027,,,,,Not Placed,,
PLC007189,COL0249,STU012951,MSc,2027,,,Wipro,13000,Not Placed,,
PLC007190,COL1177,STU059111,Diploma in Civil Engineering,2027,Capgemini,4.8,,,Placed,Associate Software Engineer,Pune
PLC007191,COL0990,STU049374,ME,2027,TCS,6.4,,,Placed,Software Trainee,Chennai
PLC007192,COL1441,STU073290,MA,2027,,,,,Not Placed,,
PLC007193,COL1648,STU082385,MCom,2027,Deloitte,16.0,Tata Memorial Hospital,14000,Placed,Relationship Manager,Bengaluru
PLC007194,COL1578,STU079523,MCom,2027,,,,,Not Placed,,
PLC007195,COL1612,STU080731,MSc,2027,Deloitte,5.4,,,Placed,Financial Analyst,Pune
PLC007196,COL0650,STU032707,BA,2027,Hindustan Unilever,14.5,LTIMindtree,24500,Placed,Management Trainee,Pune
PLC007197,COL1983,STU099309,MA,2027,Amazon (Operations),5.5,,,Placed,Operations Executive,Nagpur
PLC007198,COL0307,STU016048,BCom,2027,Byju's,4.5,Salesforce,79500,Placed,Customer Support Executive,Mumbai
PLC007199,COL1003,STU050321,MCom,2027,,,,,Not Placed,,
PLC007200,COL1822,STU090827,BCom,2027,,,HDFC Bank,22500,Not Placed,,
PLC007201,COL1033,STU051808,MSc,2027,Asian Paints,7.9,,,Placed,Sales Executive,Pune
PLC007202,COL0913,STU045895,MA,2027,HDFC Life,7.0,Mphasis,24000,Placed,Management Trainee,Mumbai
PLC007203,COL0137,STU007028,MCom,2027,ICICI Bank,11.4,Lupin,10500,Placed,Relationship Manager,Noida
PLC007204,COL0266,STU013827,ME,2027,Uber,39.1,Accenture,23000,Placed,Software Development Engineer,Hyderabad
PLC007205,COL0010,STU000413,B.Ed,2027,,,Dr. Reddy's Laboratories,12500,Not Eligible,,
PLC007206,COL1234,STU061812,B.Ed,2027,Byju's,5.7,,,Placed,Operations Executive,Nashik
PLC007207,COL0097,STU004993,MCom,2027,Tech Mahindra,7.3,,,Placed,Associate Software Engineer,Chennai
PLC007208,COL0197,STU010322,ME,2027,Larsen & Toubro,8.9,KPMG,17000,Placed,Production Engineer,Aurangabad
PLC007209,COL0426,STU021685,MA,2027,Amazon (Operations),5.9,Apollo Hospitals,8000,Placed,Operations Executive,Aurangabad
PLC007210,COL0800,STU040007,MCom,2027,,,,,Not Eligible,,
PLC007211,COL1481,STU075023,BCom,2027,,,,,Not Placed,,
PLC007212,COL1021,STU051262,MSc,2027,ICICI Bank,11.4,Cadila Healthcare,11500,Placed,Business Analyst,Hyderabad
PLC007213,COL0832,STU041719,MCom,2027,EY,10.9,,,Placed,Audit Associate,Hyderabad
PLC007214,COL0240,STU012666,BCom,2027,,,,,Not Placed,,
PLC007215,COL0117,STU006067,MA,2027,,,Max Healthcare,13500,Not Placed,,
PLC007216,COL1712,STU085497,PGDM,2027,HCLTech,5.8,Axis Bank,23500,Placed,Systems Engineer,Gurugram
PLC007217,COL0928,STU046537,ME,2027,Zensar Technologies,6.2,,,Placed,IT Analyst,Bengaluru
PLC007218,COL1518,STU077025,BA Economics,2027,,,Tata Memorial Hospital,9500,Not Placed,,
PLC007219,COL0883,STU044414,D.Pharm,2027,Cadila Healthcare,4.7,Cipla,12000,Placed,Regulatory Affairs Executive,Nagpur
PLC007220,COL0377,STU019498,MCom,2027,Axis Bank,10.0,,,Placed,Financial Analyst,Pune
PLC007221,COL1233,STU061714,BE Computer Engineering,2027,Microsoft,30.0,Amazon (Operations),9500,Placed,Cloud Engineer,Chennai
PLC007222,COL0496,STU025218,MA,2027,,,,,Not Eligible,,
PLC007223,COL0936,STU046897,MBA,2027,,,Fortis Healthcare,9000,Not Placed,,
PLC007224,COL0440,STU022422,MA,2027,,,,,Not Placed,,
PLC007225,COL0818,STU041021,BSc,2027,,,,,Not Placed,,
PLC007226,COL0810,STU040546,BA,2027,,,,,Not Placed,,
PLC007227,COL0012,STU000566,MCom,2027,KPMG,10.3,,,Placed,Audit Associate,Mumbai
PLC007228,COL1159,STU058056,Diploma in Mechanical Engineering,2027,,,Concentrix,8000,Not Placed,,
PLC007229,COL0154,STU008123,BCom (Banking & Insurance),2027,,,,,Not Placed,,
PLC007230,COL1304,STU065381,MCom,2027,,,,,Not Eligible,,
PLC007231,COL1033,STU051806,MCom,2027,KPMG,6.6,,,Placed,Business Analyst,Mumbai
PLC007232,COL1719,STU085822,MA,2027,,,Capgemini,12500,Not Placed,,
PLC007233,COL1387,STU070341,MA,2027,KPMG,16.6,,,Placed,Relationship Manager,Bengaluru
PLC007234,COL0321,STU016729,B.Ed,2027,,,,,Not Placed,,
PLC007235,COL1674,STU083685,BA,2027,,,,,Not Placed,,
PLC007236,COL1013,STU050775,MSc,2027,,,,,Not Placed,,
PLC007237,COL1091,STU054421,MSc,2027,,,Concentrix,9500,Not Eligible,,
PLC007238,COL1829,STU091120,MMS,2027,ICICI Bank,11.1,Apollo Hospitals,13000,Placed,Financial Analyst,Pune
PLC007239,COL0019,STU000985,MA,2027,,,,,Not Eligible,,
PLC007240,COL1324,STU066624,MSc,2027,,,,,Not Placed,,
PLC007241,COL1080,STU053780,MSc,2027,Amazon (Operations),6.5,Amazon (Operations),7500,Placed,Content Associate,Aurangabad
PLC007242,COL0356,STU018556,MSc,2027,ITC Limited,9.0,,,Placed,Supply Chain Analyst,Chennai
PLC007243,COL1984,STU099407,MS,2027,Tata Memorial Hospital,8.2,Amazon,45000,Placed,Medical Officer,Solapur
PLC007244,COL1287,STU064269,ME,2027,,,Salesforce,35500,Not Placed,,
PLC007245,COL0823,STU041316,MA,2027,,,,,Not Placed,,
PLC007246,COL0719,STU035918,D.Ed,2027,,,,,Not Eligible,,
PLC007247,COL1407,STU071621,MCom,2027,,,Deloitte,16500,Not Placed,,
PLC007248,COL0324,STU016869,MSc,2027,Byju's,5.8,Infosys,23000,Placed,Process Associate,Solapur
PLC007249,COL1016,STU050952,BA History,2027,,,,,Not Eligible,,
PLC007250,COL0570,STU028835,M.Pharm,2027,Lupin,4.0,,,Placed,R&D Associate,Nagpur
PLC007251,COL1754,STU087419,MCom,2027,,,Godrej & Boyce,18500,Not Placed,,
PLC007252,COL1227,STU061465,MA,2027,,,,,Not Placed,,
PLC007253,COL0856,STU043191,MCom,2027,Wipro BPO,4.0,,,Placed,Customer Support Executive,Solapur
PLC007254,COL1311,STU066014,BCom,2027,,,Concentrix,8500,Not Placed,,
PLC007255,COL1930,STU096574,BA,2027,,,,,Not Placed,,
PLC007256,COL0181,STU009506,MCom,2027,LTIMindtree,6.0,Genpact,11000,Placed,Systems Engineer,Noida
PLC007257,COL1884,STU093797,MA,2027,,,Infosys,13000,Not Placed,,
PLC007258,COL0288,STU015300,MSc,2027,Mphasis,9.0,Larsen & Toubro,16000,Placed,Systems Engineer,Bengaluru
PLC007259,COL1063,STU053014,ME,2027,Capgemini,6.1,,,Placed,Associate Software Engineer,Bengaluru
PLC007260,COL0879,STU044257,MSc,2027,,,,,Not Placed,,
PLC007261,COL1094,STU054667,BCom (Banking & Insurance),2027,Hindustan Unilever,9.2,,,Placed,Brand Associate,Chennai
PLC007262,COL1419,STU072309,MBBS,2027,Max Healthcare,5.8,Cadila Healthcare,13500,Placed,Resident Doctor,Mumbai
PLC007263,COL1955,STU097750,LLB,2027,AZB & Partners,13.4,,,Placed,Associate,Mumbai
PLC007264,COL1402,STU071170,MSc,2027,Mphasis,5.0,,,Placed,IT Analyst,Mumbai
PLC007265,COL1760,STU087641,MCom,2027,,,,,Not Placed,,
PLC007266,COL0156,STU008282,MCom,2027,,,Axis Bank,21000,Not Placed,,
PLC007267,COL1578,STU079483,BCom,2027,Wipro BPO,4.7,,,Placed,Operations Executive,Pune
PLC007268,COL1832,STU091200,MCom,2027,Amazon (Operations),4.8,,,Placed,Operations Executive,Pune
PLC007269,COL0424,STU021611,BSc,2027,,,Apollo Hospitals,10000,Not Placed,,
PLC007270,COL1523,STU077143,MA,2027,,,Fortis Healthcare,8500,Not Eligible,,
PLC007271,COL0840,STU042342,MSc,2027,,,,,Not Placed,,
PLC007272,COL1689,STU084356,MCom,2027,,,,,Not Placed,,
PLC007273,COL1579,STU079594,MCom,2027,,,Adobe,61500,Not Eligible,,
PLC007274,COL1856,STU092514,MCom,2027,Byju's,6.6,Max Healthcare,11500,Placed,Operations Executive,Kolhapur
PLC007275,COL1946,STU097303,BE Computer Engineering,2027,TCS,4.5,Capgemini,18000,Placed,Associate Software Engineer,Chennai
PLC007276,COL0870,STU043890,MCom,2027,,,,,Not Placed,,
PLC007277,COL1894,STU094464,PGDM,2027,,,,,Not Placed,,
PLC007278,COL1700,STU084908,MD,2027,Ruby Hall Clinic,5.9,ABB India,18000,Placed,Clinical Associate,Amravati
PLC007279,COL1465,STU074434,BA Marathi,2027,,,,,Not Placed,,
PLC007280,COL1140,STU057199,MCom,2027,,,Genpact,10500,Not Placed,,
PLC007281,COL0483,STU024564,BSc Computer Science,2027,Concentrix,4.5,Tata Memorial Hospital,11500,Placed,Content Associate,Nashik
PLC007282,COL1033,STU051792,BCom,2027,,,Tata Memorial Hospital,12000,Not Placed,,
PLC007283,COL0222,STU011819,MSc,2027,Godrej Consumer Products,13.0,,,Placed,Supply Chain Analyst,Noida
PLC007284,COL0266,STU013907,BE Civil Engineering,2027,Adobe,33.1,Siemens,11500,Placed,Machine Learning Engineer,Bengaluru
PLC007285,COL0839,STU042204,BA,2027,Deloitte,6.5,HCLTech,19500,Placed,Financial Analyst,Pune
PLC007286,COL1327,STU066913,MSc,2027,Godrej Consumer Products,10.1,Ruby Hall Clinic,11000,Placed,Supply Chain Analyst,Gurugram
PLC007287,COL0070,STU003669,Diploma in Electrical Engineering,2027,Tech Mahindra,4.1,Fortis Healthcare,13500,Placed,Associate Software Engineer,Noida
PLC007288,COL1137,STU057113,MCom,2027,Mphasis,8.5,,,Placed,Systems Engineer,Mumbai
PLC007289,COL1189,STU059757,MCom,2027,Concentrix,4.7,,,Placed,Operations Executive,Pune
PLC007290,COL0592,STU029873,MSc,2027,PwC,7.5,,,Placed,Relationship Manager,Gurugram
PLC007291,COL1163,STU058436,MSc,2027,,,,,Not Placed,,
PLC007292,COL1962,STU098121,Diploma in Electrical Engineering,2027,,,,,Not Placed,,
PLC007293,COL0227,STU012005,BE Electrical Engineering,2027,Infosys,7.6,,,Placed,Technical Consultant,Mumbai
PLC007294,COL1655,STU082643,MCom,2027,,,,,Not Placed,,
PLC007295,COL1822,STU090840,MA,2027,,,Byju's,9500,Not Placed,,
PLC007296,COL0331,STU017296,ME,2027,,,Max Healthcare,14500,Not Placed,,
PLC007297,COL0838,STU042106,MA,2027,,,Max Healthcare,9500,Not Eligible,,
PLC007298,COL1591,STU080046,MSc,2027,,,Sun Pharmaceutical,17000,Not Placed,,
PLC007299,COL0813,STU040685,MCom,2027,,,Mahindra & Mahindra,18000,Not Placed,,
PLC007300,COL1301,STU065078,MCom,2027,,,,,Not Placed,,
PLC007301,COL1774,STU088401,MSc,2027,HDFC Life,7.7,Adobe,49000,Placed,Financial Analyst,Gurugram
PLC007302,COL0520,STU026591,BCom,2027,Godrej Consumer Products,6.7,,,Placed,Management Trainee,Pune
PLC007303,COL1001,STU050190,BSc,2027,,,Oracle,84000,Not Placed,,
PLC007304,COL0146,STU007579,MCom,2027,Genpact,4.1,,,Placed,Content Associate,Kolhapur
PLC007305,COL0270,STU014189,BA,2027,ICICI Bank,9.2,ICICI Bank,21000,Placed,Business Analyst,Pune
PLC007306,COL0988,STU049246,B.Pharm,2027,,,Zensar Technologies,13500,Not Placed,,
PLC007307,COL1125,STU056436,MSc,2027,,,,,Not Placed,,
PLC007308,COL0541,STU027575,MCom,2027,,,,,Not Placed,,
PLC007309,COL1085,STU054239,BE Computer Engineering,2027,TCS,5.2,Genpact,11500,Placed,IT Analyst,Gurugram
PLC007310,COL0591,STU029773,BCom,2027,Kotak Mahindra Bank,5.8,Sun Pharmaceutical,9500,Placed,Business Analyst,Mumbai
PLC007311,COL0318,STU016623,MCom,2027,Teleperformance,4.1,,,Placed,Process Associate,Amravati
PLC007312,COL0343,STU017695,BA,2027,,,Fortis Healthcare,9000,Not Placed,,
PLC007313,COL1936,STU096760,MA,2027,EY,16.8,,,Placed,Management Trainee,Chennai
PLC007314,COL1590,STU079976,MCom,2027,,,,,Not Placed,,
PLC007315,COL1314,STU066244,BSc Physics,2027,,,,,Not Placed,,
PLC007316,COL0752,STU037501,MSc,2027,,,HDFC Life,28500,Not Placed,,
PLC007317,COL1598,STU080355,MA,2027,Kotak Mahindra Bank,7.2,Wipro,21500,Placed,Business Analyst,Mumbai
PLC007318,COL1003,STU050329,MA,2027,,,,,Not Eligible,,
PLC007319,COL0830,STU041616,BSc Mathematics,2027,HCLTech,8.3,,,Placed,Software Trainee,Bengaluru
PLC007320,COL1689,STU084333,MCom,2027,LTIMindtree,7.6,,,Placed,Software Trainee,Mumbai
PLC007321,COL0552,STU028204,MSc,2027,,,LTIMindtree,15500,Not Placed,,
PLC007322,COL1483,STU075180,MA,2027,,,KPMG,30000,Not Placed,,
PLC007323,COL0852,STU042968,BE Computer Engineering,2027,,,Godrej & Boyce,15500,Not Placed,,
PLC007324,COL1173,STU058959,ME,2027,Zensar Technologies,7.9,Thermax,15000,Placed,Software Trainee,Pune
PLC007325,COL0019,STU000941,MSc,2027,,,,,Not Placed,,
PLC007326,COL0398,STU020376,BSc,2027,,,,,Not Eligible,,
PLC007327,COL0260,STU013512,BA,2027,,,,,Not Placed,,
PLC007328,COL1103,STU055401,MA,2027,,,,,Not Placed,,
PLC007329,COL1922,STU096313,BE Computer Engineering,2027,,,Wipro BPO,11000,Not Placed,,
PLC007330,COL0621,STU031147,BA,2027,Teleperformance,4.9,,,Placed,Process Associate,Nagpur
PLC007331,COL1302,STU065243,BCom,2027,,,,,Not Placed,,
PLC007332,COL1453,STU073794,BE Mechanical Engineering,2027,Salesforce,32.0,,,Placed,Cloud Engineer,Gurugram
PLC007333,COL1732,STU086342,D.Pharm,2027,,,,,Not Placed,,
PLC007334,COL0650,STU032697,MCom,2027,Axis Bank,8.1,,,Placed,Management Trainee,Gurugram
PLC007335,COL0995,STU049752,MSc,2027,,,,,Not Placed,,
PLC007336,COL0279,STU014712,BCom,2027,PwC,9.4,Lupin,8000,Placed,Business Analyst,Bengaluru
PLC007337,COL1356,STU068316,MCom,2027,Teleperformance,4.9,Tata Memorial Hospital,10500,Placed,Customer Support Executive,Amravati
PLC007338,COL1378,STU069733,BA,2027,HDFC Life,4.7,,,Placed,Financial Analyst,Pune
PLC007339,COL0411,STU020876,MA,2027,,,,,Not Eligible,,
PLC007340,COL0171,STU008894,MCom,2027,,,Tata Motors,15000,Not Placed,,
PLC007341,COL1410,STU071829,B.Ed,2027,,,Tata Memorial Hospital,14500,Not Placed,,
PLC007342,COL0786,STU039444,Diploma in Civil Engineering,2027,Zensar Technologies,5.5,Zensar Technologies,15500,Placed,Associate Software Engineer,Gurugram
PLC007343,COL0653,STU032880,B.Pharm,2027,Lupin,5.2,Glenmark Pharmaceuticals,8500,Placed,R&D Associate,Mumbai
PLC007344,COL1960,STU098011,MCom,2027,,,,,Not Placed,,
PLC007345,COL1326,STU066880,MCom,2027,ITC Limited,8.6,,,Placed,Supply Chain Analyst,Noida
PLC007346,COL0980,STU048827,MCom,2027,Asian Paints,11.0,Ruby Hall Clinic,10000,Placed,Sales Executive,Gurugram
PLC007347,COL0513,STU026333,MCom,2027,EY,12.2,,,Placed,Financial Analyst,Chennai
PLC007348,COL1945,STU097220,MBBS,2027,Fortis Healthcare,3.8,,,Placed,Clinical Associate,Solapur
PLC007349,COL0121,STU006326,BE Mechanical Engineering,2027,,,Ruby Hall Clinic,10500,Not Placed,,
PLC007350,COL0332,STU017386,Diploma in Computer Engineering,2027,,,Bajaj Auto,17500,Not Placed,,
PLC007351,COL1268,STU063309,BE Electronics & Telecommunication,2027,TCS,5.8,Max Healthcare,10000,Placed,Technical Consultant,Pune
PLC007352,COL1221,STU061068,MSc,2027,Asian Paints,8.6,Concentrix,7500,Placed,Brand Associate,Mumbai
PLC007353,COL0311,STU016465,BE Computer Engineering,2027,Capgemini,7.2,SAP Labs,80000,Placed,IT Analyst,Noida
PLC007354,COL0825,STU041377,Diploma in Computer Engineering,2027,,,Tata Steel,11500,Not Placed,,
PLC007355,COL0712,STU035652,MCom,2027,,,Teleperformance,9500,Not Placed,,
PLC007356,COL1815,STU090419,MSc,2027,,,,,Not Placed,,
PLC007357,COL1380,STU069928,BCom (Accounting & Finance),2027,,,,,Not Placed,,
PLC007358,COL1201,STU060278,D.Pharm,2027,Dr. Reddy's Laboratories,6.5,,,Placed,Regulatory Affairs Executive,Mumbai
PLC007359,COL0711,STU035514,MSc,2027,EY,16.9,Axis Bank,24000,Placed,Audit Associate,Gurugram
PLC007360,COL1448,STU073617,MCom,2027,,,,,Not Placed,,
PLC007361,COL1570,STU078999,MA,2027,,,,,Not Placed,,
PLC007362,COL1065,STU053093,BCom,2027,,,Ruby Hall Clinic,10500,Not Placed,,
PLC007363,COL0740,STU036974,MSc,2027,,,Cipla,8500,Not Placed,,
PLC007364,COL0814,STU040800,MA,2027,,,Concentrix,6500,Not Placed,,
PLC007365,COL0835,STU041934,BA,2027,Reliance Industries,13.9,,,Placed,Management Trainee,Mumbai
PLC007366,COL1883,STU093657,BA,2027,Persistent Systems,11.5,Glenmark Pharmaceuticals,17500,Placed,Software Trainee,Chennai
PLC007367,COL0740,STU036981,MA,2027,,,,,Not Placed,,
PLC007368,COL1082,STU053915,MSc,2027,Reliance Industries,5.3,Teleperformance,7500,Placed,Brand Associate,Hyderabad
PLC007369,COL0521,STU026755,MA,2027,Tech Mahindra,4.7,Genpact,9500,Placed,IT Analyst,Bengaluru
PLC007370,COL0513,STU026256,MSc,2027,,,,,Not Placed,,
PLC007371,COL0808,STU040273,MSc,2027,Axis Bank,5.2,Teleperformance,8500,Placed,Business Analyst,Bengaluru
PLC007372,COL1266,STU063125,ME,2027,TCS,4.8,,,Placed,Software Trainee,Gurugram
PLC007373,COL0265,STU013719,MCom,2027,,,,,Not Eligible,,
PLC007374,COL0175,STU009096,MSc,2027,,,,,Not Eligible,,
PLC007375,COL1799,STU089797,ME,2027,,,Teleperformance,9000,Not Placed,,
PLC007376,COL1634,STU081726,ME,2027,Amazon,24.6,,,Placed,Software Development Engineer,Mumbai
PLC007377,COL0034,STU001860,BE Mechanical Engineering,2027,ABB India,11.2,Apollo Hospitals,13000,Placed,Site Engineer,Nashik
PLC007378,COL1348,STU067822,MSc,2027,,,,,Not Eligible,,
PLC007379,COL1273,STU063528,BCom,2027,,,Tata Steel,11500,Not Placed,,
PLC007380,COL1900,STU094878,MA,2027,,,,,Not Placed,,
PLC007381,COL0800,STU039983,MCom,2027,,,,,Not Placed,,
PLC007382,COL0890,STU044891,BSc,2027,Reliance Industries,15.8,Genpact,10500,Placed,Management Trainee,Gurugram
PLC007383,COL0343,STU017784,BSc,2027,,,HDFC Bank,26000,Not Placed,,
PLC007384,COL1916,STU095905,ME,2027,Intel,23.8,ABB India,16500,Placed,Product Analyst,Mumbai
PLC007385,COL0780,STU039096,MSc,2027,,,Cognizant,22000,Not Placed,,
PLC007386,COL1001,STU050139,MA,2027,ITC Limited,5.8,,,Placed,Supply Chain Analyst,Bengaluru
PLC007387,COL0307,STU016198,BCom,2027,Infosys,6.3,KPMG,19000,Placed,Systems Engineer,Bengaluru
PLC007388,COL1758,STU087555,M.Arch,2027,,,,,Not Placed,,
PLC007389,COL0875,STU044029,ME,2027,,,Fortis Healthcare,11500,Not Placed,,
PLC007390,COL1308,STU065768,BCom (Banking & Insurance),2027,,,,,Not Eligible,,
PLC007391,COL1778,STU088648,MA,2027,,,,,Not Placed,,
PLC007392,COL1736,STU086539,PGDM,2027,Asian Paints,9.9,Bajaj Auto,11000,Placed,Sales Executive,Mumbai
PLC007393,COL0931,STU046660,MA,2027,,,Bajaj Auto,13000,Not Placed,,
PLC007394,COL1082,STU053961,MCom,2027,,,Persistent Systems,16000,Not Placed,,
PLC007395,COL1107,STU055600,MSc,2027,Byju's,6.4,Intel,64000,Placed,Operations Executive,Pune
PLC007396,COL0125,STU006462,BA History,2027,ITC Limited,11.7,,,Placed,Management Trainee,Noida
PLC007397,COL1042,STU052184,MCom,2027,,,Tech Mahindra,21000,Not Placed,,
PLC007398,COL1480,STU074914,MCom,2027,HDFC Life,5.3,,,Placed,Relationship Manager,Mumbai
PLC007399,COL1637,STU081922,MBA,2027,Asian Paints,9.6,Cadila Healthcare,8500,Placed,Sales Executive,Bengaluru
PLC007400,COL0201,STU010603,MCom,2027,Hindustan Unilever,6.3,Capgemini,19000,Placed,Brand Associate,Chennai
PLC007401,COL0026,STU001415,MSc,2027,,,Sun Pharmaceutical,11500,Not Placed,,
PLC007402,COL0559,STU028576,MBBS,2027,Ruby Hall Clinic,3.3,Larsen & Toubro,11500,Placed,Staff Nurse,Amravati
PLC007403,COL1847,STU092012,BA,2027,,,,,Not Placed,,
PLC007404,COL0221,STU011673,BSc Computer Science,2027,,,,,Not Placed,,
PLC007405,COL1357,STU068448,BCom (Accounting & Finance),2027,,,,,Not Placed,,
PLC007406,COL1303,STU065276,MSc,2027,,,Byju's,11000,Not Placed,,
PLC007407,COL1465,STU074462,MA,2027,Hindustan Unilever,10.7,Lupin,13000,Placed,Sales Executive,Hyderabad
PLC007408,COL0728,STU036561,BA,2027,ITC Limited,6.1,,,Placed,Brand Associate,Chennai
PLC007409,COL1693,STU084462,BSc,2027,Godrej Consumer Products,6.9,,,Placed,Brand Associate,Pune
PLC007410,COL1110,STU055786,MSc,2027,,,,,Not Placed,,
PLC007411,COL0081,STU004299,BCom,2027,,,Ruby Hall Clinic,8000,Not Placed,,
PLC007412,COL1560,STU078669,D.Ed,2027,,,,,Not Eligible,,
PLC007413,COL1003,STU050272,MA,2027,,,,,Not Placed,,
PLC007414,COL1810,STU090223,ME,2027,Uber,35.2,,,Placed,Data Scientist,Mumbai
PLC007415,COL1810,STU090225,ME,2027,Mphasis,5.1,Google,35500,Placed,Software Trainee,Noida
PLC007416,COL1286,STU064199,MSc,2027,,,,,Not Placed,,
PLC007417,COL1197,STU059971,BE Electrical Engineering,2027,NVIDIA,44.3,Cummins India,11000,Placed,Machine Learning Engineer,Hyderabad
PLC007418,COL0038,STU002122,MA,2027,Amazon (Operations),4.1,,,Placed,Process Associate,Kolhapur
PLC007419,COL1480,STU074941,MCom,2027,,,Siemens,10500,Not Placed,,
PLC007420,COL1091,STU054413,MA,2027,,,Walmart Global Tech,45000,Not Placed,,
PLC007421,COL0230,STU012183,MSc,2027,Concentrix,3.6,LTIMindtree,20500,Placed,Content Associate,Amravati
PLC007422,COL0904,STU045459,MA,2027,,,,,Not Placed,,
PLC007423,COL0226,STU011974,BE Mechanical Engineering,2027,Persistent Systems,5.6,Concentrix,9500,Placed,IT Analyst,Hyderabad
PLC007424,COL1347,STU067761,MA,2027,Axis Bank,10.3,,,Placed,Management Trainee,Bengaluru
PLC007425,COL1391,STU070549,MSc,2027,,,Microsoft,37000,Not Placed,,
PLC007426,COL1674,STU083740,BSc,2027,,,,,Not Eligible,,
PLC007427,COL1866,STU093135,BCom,2027,,,,,Not Placed,,
PLC007428,COL1960,STU098028,MCom,2027,,,,,Not Placed,,
PLC007429,COL0592,STU029840,MSc,2027,EY,5.5,Godrej & Boyce,11500,Placed,Audit Associate,Hyderabad
PLC007430,COL0904,STU045484,MCom,2027,HCLTech,6.6,,,Placed,Associate Software Engineer,Chennai
PLC007431,COL1578,STU079525,MA,2027,Wipro BPO,5.2,Adobe,87500,Placed,Process Associate,Pune
PLC007432,COL1504,STU076398,ME,2027,Qualcomm,25.0,,,Placed,Product Analyst,Hyderabad
PLC007433,COL0595,STU030093,D.Ed,2027,Concentrix,4.7,Uber,87000,Placed,Operations Executive,Pune
PLC007434,COL0438,STU022199,ME,2027,Cognizant,8.6,Wipro,16000,Placed,Software Trainee,Mumbai
PLC007435,COL1991,STU099684,BE Civil Engineering,2027,,,Qualcomm,84000,Not Eligible,,
PLC007436,COL1670,STU083458,ME,2027,,,ICICI Bank,18500,Not Placed,,
PLC007437,COL0959,STU047802,MCom,2027,Godrej Consumer Products,7.2,,,Placed,Management Trainee,Gurugram
PLC007438,COL0305,STU015933,M.Pharm,2027,,,Kotak Mahindra Bank,20500,Not Placed,,
PLC007439,COL0933,STU046778,MA,2027,,,Max Healthcare,9000,Not Eligible,,
PLC007440,COL0196,STU010233,BE Civil Engineering,2027,,,,,Not Placed,,
PLC007441,COL1933,STU096690,BSc Computer Science,2027,Teleperformance,4.3,,,Placed,Operations Executive,Kolhapur
PLC007442,COL1978,STU099034,MSc,2027,,,Ruby Hall Clinic,13500,Not Placed,,
PLC007443,COL0524,STU026845,MA,2027,Concentrix,4.2,,,Placed,Process Associate,Nagpur
PLC007444,COL0931,STU046664,MA,2027,HDFC Life,6.1,Concentrix,10500,Placed,Management Trainee,Chennai
PLC007445,COL1005,STU050423,MSc,2027,,,Cognizant,22500,Not Placed,,
PLC007446,COL0336,STU017535,LLM,2027,,,,,Not Placed,,
PLC007447,COL0596,STU030202,BA,2027,Teleperformance,4.6,,,Placed,Customer Support Executive,Nashik
PLC007448,COL0660,STU033052,MSc,2027,,,,,Not Placed,,
PLC007449,COL0968,STU048229,MCom,2027,Cognizant,4.1,,,Placed,Systems Engineer,Bengaluru
PLC007450,COL1761,STU087682,Diploma in Civil Engineering,2027,,,Adobe,47500,Not Placed,,
PLC007451,COL0692,STU034512,BCom,2027,,,,,Not Placed,,
PLC007452,COL0356,STU018592,BCom,2027,PwC,15.2,KPMG,28500,Placed,Business Analyst,Mumbai
PLC007453,COL0484,STU024637,MCom,2027,Byju's,5.0,Amazon,89500,Placed,Process Associate,Amravati
PLC007454,COL0146,STU007578,MSc,2027,Teleperformance,3.7,Tech Mahindra,12500,Placed,Customer Support Executive,Amravati
PLC007455,COL0504,STU025753,MS,2027,Max Healthcare,5.6,,,Placed,Medical Officer,Kolhapur
PLC007456,COL0695,STU034728,MSc,2027,PwC,8.0,,,Placed,Financial Analyst,Gurugram
PLC007457,COL0757,STU037758,MA,2027,Cognizant,7.0,Tech Mahindra,24000,Placed,Software Trainee,Hyderabad
PLC007458,COL1457,STU074094,MCom,2027,Wipro BPO,3.4,,,Placed,Process Associate,Solapur
PLC007459,COL0973,STU048622,B.Ed,2027,,,Max Healthcare,12000,Not Placed,,
PLC007460,COL0989,STU049335,MSc,2027,,,,,Not Placed,,
